ORIGINAL TEXT	TRANSLATION
brokaat	brocade
katoen	cotton
gips	plaster
haar (materiaal)	hair (material)
glas	glass
Parasol met applicaties	Parasol with applications
Limburg in beeld: de mergelgroeve (HD)	Limburg in view: the marrow quarry (HD)
In uw hand de reinheid der stad	In your hand, the cleanliness of the city
kassen	greenhouses
1799-11-24 - 1799-11-24	1799-11-24 - 1799-11-24
Herenhorloge, repetitiehorloge, van goud met een tweede kast van schildpad. De achterbodem is glad.	Men's watch, repeating watch, of gold with a second tortoiseshell case. The back base is smooth.
Oorhanger, deel van een paar, van goud, email en barokparel, voorstellende een hangend boek waarop een lam (Lam Gods op het boek der Zeven Zegelen).	Ear pendant, part of a pair, of gold, enamel and baroque pearl, depicting a hanging book on which a lamb (Lam God's on the Book of Seven Seals) is seated.
Weeknummer: 24-19	Week number: 24-19
Deel 3 van een onderwijsfilm in vijf delen (ook afzonderlijk vertoond in de bioscopen) over de provincie Limburg gemaakt door de documentaire afdeling van de HOLLANDIA-filmfabriek.	Part 3 of an educational film in five parts (also shown separately in the cinemas) about the province of Limburg made by the documentary department of the HOLLANDIA film factory.
Korte NSB-propaganda speelfilm, waarin de hoofdpersoon, een arrogante, conservatieve Hagenaar, op een dag vol pech geconfronteerd wordt met het overal aanwezige nationaal-socialisme. Een en ander in de vorm van affiches, marcherende W.A. en een zoon die bij de Jeugdstorm wil. Doel van de film is pro-Duitse propaganda te maken.	Short NSB propaganda feature film in which the protagonist, an arrogant conservative Hagenaar, is confronted with national-socialism in a day of bad luck. This is in the form of posters, marching W.A. and a son who wants to join the Youth Storm.
"Terracotta. Voorkant van een naakte vrouw.
""concubine van de doden"""	"Terracotta. Front of a naked woman. ""concubine of the dead"""
IJsstok	Ice stick
Horloge van goud, met een emailschildering, voorstellende de Heilige Familie en de kleine Johannes. Op de achterbodem zijn vier medaillons met emailschilderingen. In de achterbodem eveneens een emailschildering.	Watch of gold, with an enamel painting, depicting the Holy Family and the little Johannes. On the back base are four medallions with enamel paintings. Also an enamel painting in the back ground.
trom	drum
Grijsblauwe onderjurk, licht gecentreerd model. Afwerking met machinale kant, zowel  over de buste als de volledige boord. Heel fijne schouderbandjes.	Grey blue slip dress, slightly centered model. Finishing with machine-made lace, both over the bust and the entire collar. Very fine shoulder straps.
Draaglint	Carrier ribbon
Couperus, Jan	Couperus, Jan
Vaas met hals in de vorm van een hoofd	Vase with neck in the shape of a head
Wijding van beeld van O.L.Vr.van Lourdes door Mgr.Dechamps	Blessing of the statue of our Lady of Lourdes by Mgr. Dechamps
Zes fragmenten van een kom met aan de buitenkant de voorstelling van een kever met twee menselijke armen	Six fragments of a bowl with on the outside the depiction of a beetle with two human arms
Kamerjas	Dressing gown
Kom, binnenzijde met in het centrum een gegraveerd wapenschild, aan de rand, enkele kamslaggen, buitenzijde effen, kleine vernauwende basis, uitgehold, crème deklaag, gecraqueleerde, lichtbeige terracotta.	Bowl, inside with an engraved coat of arms in the centre, on the rim, a few comb strokes, plain outside, small narrow base, hollowed out, creme coating, crackled, light beige terracotta.
Kleine stempel of gewicht (?), vierkant, top in de vorm van een afgeknotte kegel, groene goed verpulverde patina.	Small stamp or weight (?), square, top in the shape of a truncated cone, well pulverised green patina.
Horloge van bergkristal, email en goud. Op de voorzijde versierd met ranken in translucide email.	Watch of rock crystal, enamel and gold. On the front, decorated with scrolls in translucid enamel.
Teding van Berkhout-Low, Catharina Isabella	Teding van Berkhout-Low, Catharina Isabella
gouddraad	gold thread
Horloge van goud in de vorm van een boek, met kleine wijzerplaat. In het boek vijf gouden lijstjes voor miniaturen.	Watch of gold in the shape of a book, with small dial. In the book, five golden frames for miniatures.
Bosch Reitz-Teding van Berkhout, Catharina Isabella	Bosch Reitz-Teding van Berkhout, Catharina Isabella
1897-03-09 - 1897-03-09	1897-03-09 - 1897-03-09
Overstroming	Flood
Bioscoopjournaals waarin Nederlandse onderwerpen van een bepaalde week worden gepresenteerd.	Newsreels in which Dutch subjects from a particular week are presented.
Proeven met de nieuwe Junker vliegtuigen voor de luchtlijn Amsterdam-Essen-Berlijn	Trials with the new Junker airplanes for the Amsterdam-Essen-Berlin airline
Groente- en fruitteelt in Nederland (HD)	Fruit and vegetable cultivation in the Netherlands (HD)
Nieuws uit Suriname: bezoek minister-president Marijnen	News from Suriname: visit of Prime Minister Marijnen
"Cross country feest van de koninklijke militaire
sportvereniging"	Cross country party of the royal military sports association
Met Polygoon door... de grachten en langs de oude gevels van Amsterdam	With Polygoon through... the canals and along the old façades of Amsterdam
Hanger in de vorm van een pad. Gevormd uit barokparels, goud en email.	Pendant in the shape of a toad. Formed from baroque pearls, gold and enamel.
Hanger van goud en bergkristal. In het bergkristal is de H. Helena met kruis en keizerskroon gesneden.	Pendant of gold and rock crystal. H. Helena is carved into the rock crystal with a cross and an imperial crown.
Voetbalwedstrijd duitsland - holland	Football match Germany - The Netherlands
Feestelijke herdenking 100 jarig bestaan van het Noordhollands kanaal	Festive commemoration of the 100th anniversary of the Noordhollands Canal
Nederland reageert op de gebeurtenissen in Hongarije	The Netherlands responds to the events in Hungary
Go-Ahead wordt kampioen van Nederland	Go-Ahead is champion of the Netherlands
Geografische Referentie >  Azië >  Zuidoost Azië >  Cambodja	Geographical Reference> Asia> South East Asia> Cambodia
Hoed (canotier)	Hat (canotier)
Paar avondschoenen met golvende banden	Pair of evening shoes with undulating bands
Hanger van goud. Voorstellende een ruiter in antieke klederdracht staande op een met robijnen versierd postament en hangende aan twee kettinkjes. Verder versierd met parels, en email.	Gold pendant. Depicting a horseman in antique costume standing on a postament decorated with rubies and hanging from two chains. Also decorated with pearls, and enamel.
Horloge in de vorm van een kruis	Watch in the shape of a cross
Utrecht, Maria van	Utrecht, Maria van
Onthulling standbeeld Frans Naerebout, viering eerste Koninginnedag na WOI	Unveiling statue of Frans Naerebout, celebration of the first Queen's Day after WWI
Polygoon bioscoopjournaal Weeknummer 79-44	Polygoon cinema newsreel Week number 79-44
Geografische Referentie >  Europa >  West-Europa >  Benelux >  België >  Wallonië >  Henegouwen (provincie) >  Bergen (Henegouwen) >  Harmignies	Geographical Reference> Europe> Western Europe> Benelux> Belgium> Wallonia> Hainaut (province)> Mons (Hainaut) > Harmignies
Geografische Referentie >  Azië >  Zuidoost Azië >  Vietnam >  Noord-Vietnam (regio) >  Noordcentrale kust (regio) >  Thanh Hoa (provincie) >  Lach Truong	Geographical Reference> Asia> South East Asia> Vietnam> North Vietnam (region)> North Central Coast (region)> Thanh Hoa (province)> Lach Truong
Koninginnedag	Queen's Day
Gespplaat met tongvormig plaatje met 5 bolkopspijkers en rechthoekige gesp met ronde gesptong.	Buckle plate with tongue-shaped plate with 5 rounded spikes and rectangular buckle with rounded tongue. 
barokparel	baroque pearl
Mensfiguur, voorstellende Amphitrite, staande op een dolfijn, op een ebbenhouten voetstuk.	Human figure, representing Amphitrite, standing on a dolphin, on a ebony pedestal.
Horloge met de heilige familie met Johannes de Doper	Watch with the Holy Family with Johannes de Doper
Horloge van goud en email in de vorm van een harp. Versierd met gouden lijnen en rozetten. De voet van de harp is een cachet met een amor.	Watch of gold and enamel in the shape of a harp. Decorated with gold lines and rosettes. The base of the harp is a cachet with an amor.
Hanger en necessaire van goud, geëmailleerd en bezet met smaragd en topaas. In de vorm van een dolfijn. Inhoud: een tandenstoker en een lepeltje.	Pendant and little holdall of gold, enamelled and embed with emerald and topaz. In the shape of a dolphin. Content: a toothpick and a little spoon.
Object: Koninklijke Musea voor Kunst en Geschiedenis, Brussel.	Object: Royal Museums for Art and History, Brussels.
Object: Basiliek van het H. Hart, Berchem[Antwerpen].	Object: Basilica of the H. Hart, Berchem [Antwerp].
Oost-Java	East Java
Hanger van goud. Voorstellende een arrenslee getrokken door een paard. In de slee zit een vrouw en achter haar staat de menner.	Gold pendant. Depicting a horse-drawn sleigh pulled by a horse.  A woman is sitting in the sled and behind her stands the driver.
Hanger tevens tandenstoker, van goud, email, parels en edelstenen. Het geheel heeft de vorm van een draak.	Pendant also toothpick, made of gold, enamel, pearls and gemstones. The whole is shaped like a dragon.
Historische Geografische Referentie >  Azië >  Mesopotamië	Historical geographical reference> Asia> Mesopotamia
Historische Geografische Referentie >  Afrika >  Nubië (Noord-Afrika)	Historical geographical reference> Africa> Nubia (North Africa)
Object: Kerk Sint-Jacobs[Gent], Gent.	Object: Church Sint-Jacobs [Ghent], Ghent.
Hanger met man en vrouw in een arrenslee	Pendant with man and woman in a horse-drawn sleigh
Horloge met dames die een duif offeren op het liefdesaltaar	Watch with Ladies Sacrificing a Dove on the Love Altar
Medaillon met de aanbidding van de koningen	Medallion with the Adoration of the Kings
Object: Kerk Sint-Antonius van Padua[Antwerpen], Antwerpen.	Object: Church Saint Anthony of Padua [Antwerp], Antwerp.
zuil	pillar
Hongaarse pedagoog Andreo Cseh doceert Esperanto aan het personeel van de PTT in de tuin van het Esperanto Hotel te Arnhem, hij stelt vragen bij voorwerpen en de groep geeft gezamenlijk antwoord.	Hungarian pedagogue Andreo Cseh teaches Esperanto to the staff of the PTT in the garden of the Esperanto Hotel in Arnhem, he asks questions about objects and the group answers together.
Filmreportage van de onthulling van het standbeeld voor de Vlissingse loods en mensenredder Frans Naerebout.	Film reportage about the unveiling of the statue for the Vlissing shed and human saviour Frans Naerebout.
Reportage over de ontwikkelingen op het gebied van groente- en fruitteelt, onder meer de opening van een nieuwe groenteveiling en verschillende regionale campagnes.	Report on developments in fruit and vegetables, including the opening of a new vegetable auction and various regional campaigns.
Japanse propagandafilm (1941-1945). Japans filmjournaal nr. 38 met een drietal items, t.w. Japans onderwijs, constructiewerkplaats en textielfabriek in Sjanghai en anti-spionnage campagne op Celebes.	Japanese propaganda film (1941-1945). Japanese newsreel no. 38 with three items, namely Japanese education, construction workshop and textile factory in Shanghai and anti-spying campaign on Sulawesi.
Horloge van bergkristal in de vorm van een kruis	Watch of rock crystal in the shape of a cross
Horloge in de vorm van een schelp	Watch in the shape of a shell
Nassau-Dietz, Ernst Casimir graaf van	Nassau-Dietz, Ernst Casimir, Count of
Rechthoekige gesp met gesptong met ronde doorsnede.	Rectangular buckle with buckle tongue with round section.
Wilhelmina (koningin der Nederlanden)	Wilhelmina (Queen of the Netherlands)
SDAP	SDAP
Six, jonkvrouw Catharina Isabella	Six, young woman Catharina Isabella
Schaal	Dish
Plate in terra sigillata with seal.	 Terra sigillata bord met merkteken
Horloge gemonteerd op de monding van een kristallen posthoorn. Om de wit geëmailleerde wijzerplaat zit een ring met robijnen. De hoorn hangt aan een ketting.	Watch mounted on the mouth of a crystal post horn. The white enamelled dial has a ring with rubies. The horn hangs on a chain.
Hanger van goud, email en edelstenen, in de vorm van een mandoline.	Pendant of gold, enamel and gemstones, in the shape of a mandolin.
Brochette van goud met negen gekleurde edelstenen	Gold brochette with nine coloured gemstones
Handschoen van wasleer met losse kappen van blauw/grijs satijn versierd met borduurwerk in veelkleurige zijde, zilverdraad, zoetwaterparels, robijntjes(?) en zilveren lovertjes	Glove of wax leather with loose caps of blue/grey satin decorated with embroidery in multi-colour silk, silver thread, freshwater pearls, rubies (?) and silver sequins.
vergulden glasslijpen technique d'incrustation geappliqueerd	Gilded, glass grinding, inlay technique, appliquéd
Weeknummer 23-09	Week number 23-09
Ovoid colour-coated beaker in orange clay with black-brown coating.	Ovoid ceramic goblet engobed in orange clay with brownish black engobe
Paar damesschoenen met puntneus	Pair of women's shoes with pointed nose
Reliekhouder van bergkristal in de vorm van een dubbele, gesloten schelp. Deze zijn aan de binnenzijde beschilderd met de borstbeelden van twee maal vijf heiligen.	Rock crystal reliquary  in the shape of a double, closed shell. These are painted on the inside with the busts of two times five saints.
Grijsblauwe onderjurk afgewerkt met witte kant	Grey blue slip dress finished with white lace
Grote delen van Nederland compleet ingesneeuwd	Large parts of the Netherlands completely snowed in
Stadsbeelden Arnhem, Deventer en Rozendaal (HD)	City footage Arnhem, Deventer and Rozendaal (HD)
"Officiële opening van het herstellingsschip ""Wilhelmina"""	 ship 
Wegenfilm: Holland op zijn smalst (HD)	Road film: Holland on its narrowest (HD)
Koninklijke Militaire Sportvereniging	Royal Military Sports Association
Kamerleden op bezoek bij de Nederlandse industrie	Members of parliament visiting the Dutch industry
Hanger op voetstuk met Amphitrite op een dolfijn	Pendant on a pedestal with Amphitrite on a dolphin
Hanger met tandenstoker in de vorm van een draak	Pendant with toothpick in the shape of a dragon
from the dealer J. Witkam, Goes, fl. 60, to Maurits Elzas (1868-1937), Arnhem, 1921;{NHA, RBK, INV, inv. 1215, no. 45.} by whom bequeathed with 106 other watches, as part of the 'Maurits Elzas Collection', to the museum, 1937	from the dealer J. Witkam, Goes, fl. 60, to Maurits Elzas (1868-1937), Arnhem, 1921; {NHA, RBK, INV, Rev. 1215, no. 45.} by) bequeathed with 106 other watches, as part of the ‘Maurits Elzas Collection’, to the museum, 1937
Japanse propagandafilm (1941-1945). Deze film toont de herdenking door het Japanse leger c.q. de Japanse marine van de aanval op Pearl Harbor op 8 december 1941 met sportmanifestaties en een optocht.	Japanese propaganda film (1941-1945). This film shows the commemoration by the Japanese army or navy of the attack on Pearl Harbor on 8 December 1941 with sporting events and a procession.
sale, L.J. Del Baere, Amsterdam, Comtes A.V. Bloudoff, Saint Petersburg, et al. [anonymous section], Amsterdam (F. Muller), 25 (27) November 1924 sqq., no. 870, fl. 100, to Maurits Elzas (1868-1937), Arnhem;{NHA, RBK, INV, inv. 1215, no. 82.} by whom bequeathed with 106 other watches, as part of the 'Maurits Elzas Collection', to the museum, 1937	Amsterdam, L.J. Del Baere, Amsterdam, Comtes A.V. Bloudoff, Saint Petersburg, et al. [anonymous section], Amsterdam (F. Muller), 25 (27) November 1924 sqq., no. 870, fl. 100, to Maurits Elzas (1868-1937), Arnhem; {NHA, RBK, INV, in. 1215, no 82.
from Mr W.G. Tan, Oegstgeest, fl. 6,000, to the Vereniging van Vrienden der Aziatische Kunst, 1981;{Note RMA.} from whom on loan to the museum, 1981	from Mr W.G. Tan, Oegstgeest, fl. 6.000, to the Vereniging van Vrienden der Asiatic Kunst, 1981; {Note RMA.} from from op het museum, 1981
1755 - 1833	1755 - 1833
