ORIGINAL TEXT	TRANSLATION
"Inscription : ""bateau L M A""."	Inscription: ‘boat L M A.’
dessin de crabe	crab design
Boucle de ceinture	Belt buckle
Achat Ville de Paris	Buy Ville de Paris
"Poinçon : ""L.Y.C.""."	Boy: ‘L.Y.C’
Don manuel Dubois, Denise	 manual gift Dubois, Denise
"Marque : ""BP""."	Mark: ‘BP.’
"Poinçon : ""HURE""."	A bricklayer: ‘HURE.’
Palette	Palette
Boucle	Buckle
Robe	Robe
Motifs d'entrelacs.	Patterns of interweaving.
Achat Lenoir, Martine	Buy Lenoir, Martine
Crocodile	Crocodile
Albâtre	Alabaster
Roseau	Roseau
Autruche	Ostrich
Zèbre	Zebra
Osiris	Osiris
Junior Printemps 1958 - Hiver 1958	Junior Spring 1958 - Winter 1958
Dessin collé dans l'album.	Drawing stuck in the album.
Don manuel Guillemart, Danielle	Don, Guillemart, Danielle
Eté 1958	Summer 1958
Hiver 64	Winter 64
Robe et jupe	Dress and skirt
Eté 1960	Summer 1960
Don manuel Hug, Jean	Manual gift Hug, Jean
Robe et écharpe	Dress and scarf
Grenat	Grenat
Bulle	Bulla
Marbre	Marble
Ivoire	Ivoire
Robe et ceinture	Dress and belt
Jupe et poncho	Skirt and poncho
Papyrus	Papyrus
Jaspe	Jaspe
Hiver 1958	Winter 1958
Eté 1956	Summer 1956
Carven Pluie	Carven Rain
Eté 1965 - Junior - Hiver 1966	Summer 1965 - Junior - Winter 1966
Pigeon	Pigeon
Dessin collé dans l'album	Linked drawing in the album
Coquille de Cardium	Shell of Cardium
Hématite	Hematite
Collection Proche Orient	Near East Collection
Pierre	Rock
La découverte des « tombes royales d’Ur » par C.L. Woolley constitue une étape dans l’histoire de l’archéologie du Pays des Deux Fleuves et eut une répercussion sensationnelle dans la presse grâce aux riches offrandes funéraires qu’elles contenaient et au caractère macabre de l’inhumation. Dans une vaste antichambre de la tombe de Pu-abi, deuxième épouse du roi Meskalamdug, se trouvaient les dépouilles de plusieurs serviteurs tant masculins que féminins qui avaient suivi leur maîtresse dans la mort, par strangulation ou par suicide collectif suite à un empoisonnement. Les corps de dix dames de la cour (des musiciennes ?), à la coiffure richement parée, gisaient en deux rangées de cinq sous des nattes de roseau dans le secteur méridional, à côté, entre autres, d’une harpe et d’une lyre. Le contenu verdâtre d’une petite coquille de Cardium provenant du golfe Persique, constitue l’ombre à paupières avec lequel sa propriétaire se maquillait les yeux. E.G.	The discovery of the ‘royal tombs of Ur’ by C.L. Woolley is a step in the history of the archeology of the Land of the Two Rivers and had a sensational repercussion in the press thanks to the rich funerary offerings they contained and the macabre nature of burial. In a vast antechamber of the tomb of Pu-abi, second wife of King Meskalamdug, were the remains of several male and female servants who had followed their mistress in death, strangulation or collective suicide following poisoning. The bodies of ten ladies of the courtyard (musicians?), in a richly decorated hairstyle, lay in two rows of five under reed mats in the southern sector, next to, among others, a harp and lyre. The greenish content of a small shell of Cardium from the Persian Gulf, is the shadow with which its owner made his eyes. E.G. 
paillette	Glitter
poirier	Pear tree
Pendentif discoïdal	Disc-shaped pendant
Pendentif	Pendant
Collection Iran	Iran Collection
Or	Gold
Jarre à provisions, décorée	Jar with provisions, decorated
Jarre	Jar
Poterie (matière)	Pottery (material)
Cuillère à libation	Spoon with libation
Cuillère	Spoon
Stéatite	Steatite
Sceau-cylindre avec scène de lutte	Cylinder seal with wrestling scene
Sceau-cylindre	Cylinder seal
Pierre (techniques)	Stone (techniques)
Bras	Arm
sculpture religieuse	religious sculpture
Culte (Objet de), Reliquaire	Worship (Object of), Reliquaire
Saint-Hubert	Saint-Hubert
laiton	brass
gravé doré	golden engraved
ville	town
image imprimée	printed image
Peinture[catégorie]	Painting [category]
rivière	river
papier à imprimer	printing paper
technique de dessin gravé colorié	colour-engraved design
médaillon[ornement]	medallion [ornament]
masque	mask
stalles	stalls
Stalles	Stalles
fleur	flower
sculpté doré	golden sculpted
papier à dessin	drawing paper
feuille[ornement]	[ornament] sheet
rinceaux[ornement]	brushes [ornament]
combat	combat
musicien	musician
chasseur	hunter
parchemin	parchment
globe crucifère[insigne]	cruciferous globe [badge]
chapeau	hat
aigle bicéphale	two-headed eagle
épée	sword
boviné	Bovine
écrit peint	painted writing
luth	lute
trompe[instrument à vent]	Horn/ Trunk (wind instrument)
Décoration, Lambris	Decoration, Wainscoting
théâtre	theater
palme[attribut]	palm [attribute]
Bouddha	Buddha
cristal de roche	rock crystal
sculpté	sculpted
velours	velvet
sculpté peint	painted carved
Autel, Autel	Autel
autel à retable	altar with retable
bas-relief[sculpture]	low relief [sculpture]
statue religieuse	religious statue
cafetière	coffee maker
sous-tasse	Saucer
tasse à café	coffee cup
frise[ornement]	frieze [ornament]
abstraction	abstraction
porcelaine	porcelain
cuit[céramique] peint	painted [ceramic]
Fontaine	Fountain
fontaine[construction]	fountain [construction]
poisson	fish
gravé à l'eau-forte	engraved with strong water
Blason, Armoiries	Coat of Arms
Breda, Wauthier de[abbé]	Breda, Wauthier of [Abbot]
abbé	abbot
papier	paper
peinture[matière]	painting [material]
dessiné	drawn
homme	man
L'enquête	The investigation
tableau[peinture]	painting [painting]
peinture à l'huile	oil painting
toile à peindre	painting cloth
peint	painted
vase à fleurs	flower vase
stuqué	stuffed
mascaron	mascaron
danse	dance
drapeau	flag
bourgmestre	burgomaster
taillé[pierre] coulé	carved [stone]
dessiné peint	painted drawing
papier à aquarelle	watercolor paper
aquarelle[matière]	watercolor [material]
oiseau	bird
armoiries	coat of arms
lion	lion
trompette	trumpet
casque	helmet
flambeau	torch
chien	dog
violon	violin
peint sur verre	painted on glass
céramique[matériau]	ceramic [material]
manuscrit	manuscript
Manuscrit	Manuscript
couronne[insigne]	crown [badge]
object	object
crayon	pencil
encre	ink
châsse	Casket
bateau	boat
évêque	Bishop
pierreries	oars
argent	money
livre	book
carquois[flèches]	quiver [arrows]
lambris	paneling
couronne de fleurs	flower crown
stuc	stucco
chêne	oak
stuqué peint	painted stucco
Liège	Liège
blason	coat of arms
Textile, Bannière et drapeau	Textile, Banner and Flag
Verviers	Verviers
Mons	Mons
soie	silk
tissé brodé passementerie(technique)	embroidered woven (technique)
fer	iron
tambour	drum
jeune femme	young woman
bateau à voiles	sail boat
abbaye	abbey
médecin	doctor
enfant	child
gravé au burin technique d'impression	engraved with technical burin
Monument funéraire	Funerary monument
relief[sculpture]	relief [sculpture]
pierre	stone
calice[culte catholique]	chalice [Catholic cult]
personne	person
taillé[pierre]	cut [stone]
Livre d'heures à l'usage de Rome	Book of hours for the use of Rome
fleur[ornement]	flower [ornament]
église[bâtiment]	Church [building]
intérieur	inside
enterrement	burial
messe[célébration]	Mass [celebration]
portrait[peinture]	portrait [painting]
trône	throne
colonne[élément d'architecture]	column [architectural element]
manteau[vêtement]	coat [clothing]
casque[armure]	helmet [armor]
soldat	soldier
fil de métal	metal thread
Buste d'homme	Bust of a Man
bronze	bronze
coulé	casting
Plaque	Plate
Photographie	Photography
Miniature	Miniature
vélin	vellum
Adoration des bergers	Adoration of the Shepherds
Vitrail	Glass
représentation symbolique	symbolic representation
verre	glass
plomb	lead
vitrail	stained glass
Plaque-boucle	Buckle plate
Collection Archéologie nationale	National Archaeology Collection
Alliage de cuivre	Copper alloy
Manipule de bouclier et vergettes	Shield handle and stretch marks
number-of-objects: 14	number-of-objects: 14
verroterie	glass jewellery
tissé brodé	embroidered woven
Piédestal	pedestal
Manipule (composant de bouclier)	Handle (shield component)
Fer	Iron
Ostracon grec	Greek ostracon
Ostracon	Ostracon
Céramique	Ceramic
Stèle du roi Den	Stela of King Den
Stèle	Stela
Diorite	Diorite
coiffe[parure]	headdress (trim)
chevalier	knight
faïence	faience
Isis-Hathor-Aphrodite	Isis-Hathor-Aphrodite
polychromé	polychromed
Dessin	Drawing
encre de Chine	Chinese ink
corde	rope
Fouille : Petrie 1903-1904	Excavation: Petrie 1903-1904
Figurine	Figurine
Poterie (technique)	Pottery (technical)
carton	cardboard
Modèle de vache	Model of a cow
Hathor-vache	Hathor-cow
Fragment de figurine	Fragment of a figurine
cheval	horse
vase décoratif	decorative vase
femme	woman
Collection Égypte	Egypt Collection
cavalier	horseman
Calcaire	Limestone
Perles dans un bracelet	Beads in a bracelet
Perle (bijou)	Bead (jewel)
Fouille : Petrie 1906-1907	Excavation: Petrie 1906-1907
pigment	pigment
coton	cotton
Faïence; Verre (matière)	Fence; Glass (material)
Fragments d'amulette	Fragments of an amulet
Fouille : Griffith 1910	Excavation: Griffith 1910
tissé technique d'impression	woven printing technique
Imhotep	Imhotep
être assis	sitting
plâtre	plaster
moulé	molded
bois[forêt]	forest [forest]
Étain	Tin
Perles discoides	Discoid beads
Fouille : Garstang 1909	Excavation: Garstang 1909
sceptre[bâton]	scepter [stick]
table[mobilier]	table [furniture]
Collier	Necklace
roi	king
Faïence (techniques)	Faïence (techniques)
reine	queen
lin	linen
tapisserie[technique] peint	painted tapestry [technique]
Fragment d'applique.	Fragment of an application.
groupe de statues	group of statues
Sculpture	Sculpture
vase	vase
statue humaine	human statue
archer	archer
bois	wood
Rhyton	Rhyton
Amour vendangeur	Amour vendangeur 
Plaquette	Plaque
terre cuite	terracotta
maison d'habitation	house
