ORIGINAL TEXT	TRANSLATION
Folclore nel mondo	Folklore in the world
Il XII anniversario della Repubblica	The 12th anniversary of the Republic
La situazione in Algeria	The situation in Algeria
De Gaulle e la quinta Repubblica	De Gaulle and the Fifth Republic
Scuola internazionale	International school
Pellegrinaggio militare a Lourdes	Military pilgrimage to Lourdes
Una capitale per l'Europa	A capital for Europe
Dall'interno e dall'estero	From within and from abroad
Original language summary: <br/> Italia: il singolare museo-zoo di Vignola; Inghilterra: in gara al Kensington Palace Hotel di Londra sei cuochi provenienti da nazioni diverse; Indie Olandesi: importanti ritrovamenti archeologici a Suriname; Italia: collezionisti a convegno in via Capo le Case a Roma; Belgio: mostra di kimonos a Bruxelles	Original language summary: <br/> Italy: the unique museum zoo in Vignola. England: six cooks from different countries competing at the Kensington Palace Hotel in London. Dutch Indies: important archaeological findings in Suriname. Italy: collectors at a conference in Via Capo le Houses in Rome. Belgium: exhibition of kimonos in Bruxelles
La Fiera di Roma	The Fair of Rome
Produttività nell'edilizia	Productivity in construction
Il festival del film pubblicitario	Festival of advertising film
Il giubileo di Monaco	The Munich jubilee
Original language summary: <br/> Premiate a Napoli le cinque signore più eleganti d'Italia. La manifestazione è stata organizzata dal Centro mediterraneo d'alta moda con la collaborazione del comitato italiano per il cotone	Original language summary: <br/> The five most elegant ladies of Italy awarded in Naples. The event was organized by the Mediterranean Centre for Haute Couture with the collaboration of the Italian committee for cotton
Varie dall'estero	Miscellaneous things from abroad
La bomba 'Iraq'	The ‘Iraq’ bomb
Fertilizzanti italiani	Italian fertilizers
Manovre della Nato	NATO manoeuvres
Il Festival di Taormina	Festival of Taormina
La missione di Fanfani	Fanfani's mission
Manovre 'Freccia Azzurra'	‘Feccia Azzurra’ (Blue Arrow) manoeuvres
Sui luoghi del 'Mulino del Po'	"On the places of the ""Mulino del Po"" (Mill of Po)"
Il Festival di Nervi	Festival of Nervi
Ferragosto: Festa di tutti	Ferragosto (mid-August): everybody's festivity
Il Congresso Cattolico di Berlino	The Catholic Congress in Berlin
Un villaggio sociale sulle Dolomiti	A social village on the Dolomites
Amicizia italo-tedesca	Italian-German friendship
Gemelli di Maria Pia	Maria Pia's twins
Fiera del Levante 1958	Fiera del Levante 1958
Amicizia italo-brasiliana	Italian-Brazilian friendship
Giornata internazionale cattolica	International Catholic Day
Eletta la 'Bella d'Italia'	Elected the ‘Bella d'Italia’
Varata l' 'Agip-Gela'	Agip-Gela launched
Nasce l'autostrada del Sole	The Autostrada del Sole was born
Il pellegrinaggio del secolo	The pilgrimage of the century
Original language summary: <br/> A bordo dell'Olympia giungono a Napoli, guidati dal cardinale Spellman, i 700 pellegrini partecipanti al pellegrinaggio-crociera in occasione delle celebrazioni del centenario di Lourdes	Original language summary: <br/> The 700 pilgrims participating in the pilgrimage-cruise during the celebrations of the centennial of Lourdes arrive in Naples, led by Cardinal Spellman, on board of the Olympia
L'ultimo dei novendiali	The last of the novendial
La festa della polizia	Police party
Giovanni XXIII pastor et nauta	John XXIII pastor et nauta
Dulles a Formosa	Dulles in Formosa
L'incoronazione di Giovanni XXIII	The coronation of John XXIII
L'anniversario della vittoria	The anniversary of victory
Esplosione ad Ottawa	Explosion in Ottawa
I bersaglieri lasciano Roma	The bersaglieri (troop of marksmen in the Italian Army's infantry corps) leave Rome
La pagina del cinema	Cinema page
Gemini, Italo	Gemini, Italo
Pallavicini, Sandro	Pallavicini, Sandro
Lombardo, Goffredo	Lombardo, Goffredo
1962	1962
Salsomaggiore - Miss Italia 1965	Salsomaggiore - Miss Italia 1965
Cronaca	Chronicle
Corrado	Corrado
Concorso Miss Italia	Miss Italia competition
1965	1965
Salsomaggiore Terme	Salsomaggiore Terme
Lualdi, Antonella	Lualdi, Antonella
1959	1959
Stazione Termini a Roma	Termini Station in Rome
Venezia	Venice
Olimpiadi	Olympic Games
OLIMPIADI Seconda settimana di giochi	OLYM§OICS Second week of games
Berruti, Livio	Berruti, Livio
salto in alto	high jump
Gronchi, Giovanni	Gronchi, Giovanni
1960	1960
Seregno - Raccolte d'arte	Seregno - Art collections
SANREMO: duello fra cantanti	SANREMO: duel between singers
musica leggera	Musica leggera (Italian popular music)
Fierro, Aurelio	Fierro, Aurelio
Celentano, Adriano	Celentano, Adriano
1961	1961
Sanremo	Sanremo
Varietà	Variety
pittura	painting
opere di Aligi Sassu	works by Aligi Sassu
1970	1970
Italia allo specchio	Italy in mirror
Trentino Alto Adige	Trentino Alto Adige
turismo	tourism
1967	1967
reti stradali	Roads
Sport	Sport
Bergamo Trofeo Baracchi	Bergamo Baracchi trophy
Dancelli, Michele	Dancelli, Michele
1966	1966
velodromo Vigorelli	Vigorelli velodrome
Bergamo	Bergamo
Barovero, Giovanni	Barovero, Giovanni
Bordigno, Piero	Bordigno, Piero
Musizza, Lucio	Musizza, Lucio
1981	1981
Noto, Silvio	Noto, Silvio
1982	1982
Taormina	Taormina
Milano	Milan
1983	1983
Via Montenapoleone a Milano	Via Montenapoleone in Milan
Tunisia	Tunisia
Milano - premio Giuseppe Meazza	Milan: Giuseppe Meazza prize
Fraizzoli, Ivanoe	Fraizzoli, Ivanoe
Mazzola, Sandro	Mazzola, Sandro
Crespi, Enrico	Crespi, Enrico
Facchetti, Giacinto	Facchetti, Giacinto
1989	1989
totale	total
positivo	positive
Abatantuono, Diego	Abatantuono, Diego
primo piano	foreground
materiale vario	miscellaneous material
Murray Abraham, Fahrid	Murray Abraham, Fahrid
Televisione	Television
la famiglia	the family
matrimoni	weddings
Tremelloni, Roberto	Tremelloni, Roberto
1954	1954
Aeroporto di Ciampino	Ciampino airport
Roma	Rome
campo medio	medium field
diapositiva	slide
singola foto	single photo
Comencini, Luigi	Comencini, Luigi
Volonté, Gian Maria	Volonté, Gian Maria
19870101-19871231	19870101-19871231
Laboriosa nascita del nuovo governo	Laborious birth of new government
Sardegna. Rinascita di un'isola	Sardinia. Renaissance of an island
Reale, Oronzo	Reale Oronzo
Macrelli, Cino	Macrelli, Cino
Artigianato	Crafts
musei e mostre	museums and exhibitions
Nenni, Pietro	Nenni, Pietro
Togliatti, Palmiro	Togliatti, Palmiro
1953	1953
feste laiche e folkloriche	Secular and folkloric events
1963	1963
Sassari	Sassari
Viminale	Viminale
Vanoni, Ornella	Vanoni, Ornella
Tognazzi, Ugo	Tognazzi, Ugo
Milo, Sandra	Milo, Sandra
Steele, Barbara	Steele, Barbara
1964	1964
Folchi, Alberto	Folchi, Alberto
protagonisti del cinema	cinema actors
Pierangeli, Anna Maria	Pierangeli, Anna Maria
Teatro Sistina	Teatro Sistina
Lisi, Virna	Lisi, Virna
13 settembre1963	13th September 1963
Sviluppo economico italiano	Italian economic development
Brignone, Lilla	Brignone, Lilla
Kelly, Grace	Kelly, Grace
1955	1955
Saigon	Saigon
Campidoglio	Campidoglio
Teatro delle Muse di Roma	Teatro delle Muse in Rome
Notizie dal mondo.	News from the world.
cinema	cinema
Parigi	Paris
club Fiorentina	club Fiorentina
1957	1957
Madrid	Madrid
Hollywood	Hollywood
Londra	London
Francia	France
Religione cattolica	Catholicism
1956	1956
Notizie dall'estero	News from abroad
De Gaulle, Charles	De Gaulle, Charles
esercitazioni militari	military exercises
1958	1958
Colombey les Deux Églises	Colombey les Deux Églises
Cap d'Ail	Cap d'Ail
Sassonia	Saxony
La fiera di via Margutta	The fair of Via Margutta
Fiera d'Arte di Via Margutta	Art fair of Via Margutta
Via Margutta a Roma	Via Margutta in Rome
Parigini, Novella	Parigini, Novella
Arti figurative	Figurative arts
opere di Sante Monachesi	works by Sante Monachesi
opere di Novella Parigini	works by Novella Parigini
Nasce l'Europa	Europe is born
Strasburgo	Strasbourg
[1950 - 1954]	[1950-1954]
Relazioni internazionali 5	International relations 5
Pella, Giuseppe	Pella, Giuseppe
commercio	trade
Sette G S0163, 02/07/1969	Sette G S0163, 02/07/1969
Colombo, Emilio	Colombo, Emilio
Campilli, Pietro	Campilli, Pietro
Moro, Aldo	Moro, Aldo
1969	1969
EUR	EUR
circhi	circuses
i giovani	young people
Saragat, Giuseppe	Saragat, Giuseppe
1968	1968
Napoli	Naples
Firenze	Florence
1971	1971
la cronaca	the chronicle
funerali	funerals
Catanzaro: i funerali di Giuseppe Malacaria operaio socialista ucciso da una bomba lanciata contro la folla che defluiva da un corteo antifascista. La rivolta di Reggio Calabria. La strage di Piazza Fontana: una riflessione sul terrorismo di destra.	Catanzaro: the funeral of Giuseppe Malacaria, a socialist worker killed by a bomb thrown against the crowd leaving an antifascist march. The rebellion of Reggio Calabria. The massacre of Piazza Fontana: a reflection on right-wing terrorism.
partito socialista italiano	Italian Socialist Party
1975	1975
Ostia Antica	Old Ostia
Italia	Italy
Piazza del Popolo a Roma	Piazza del Popolo in Rome
New York	New York
America ieri, America oggi	America ieri, America oggi
Attività assistenziali	Welfare activities
incontri e manifestazioni commerciali	meetings and events
Kennedy, John Fitzgerald	Kennedy, John Fitzgerald
teatro	theatre
cronaca mondana	lifestyle chronicle
1977	1977
Marini, Marino	Marini, Marino
1976	1976
Basilica di San Pietro	St. Peter's Basilica
De Gaulle in Algeria	De Gaulle in Algeria
Fanfani, Amintore	Fanfani, Amintore
1973	1973
Andreotti, Giulio	Andreotti, Giulio
La decolonizzazione	Decolonization
l'Algeria dal 1945 al 1975	Algeria from 1945 to 1975
Algeri	Algiers
Manovre navali della Nato	NATO naval manoeuvres
Original language summary: <br/> Le unità delle flotte del comando del Sud-Europa hanno partecipato alla importante esercitazione nel Mediterraneo. Grande assente la Francia	Original language summary: <br/> The units of the Southern European command fleets participated in the important exercise in the Mediterranean. Great absence of France
